,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SCORE DO DOMÍNIO,,170,22%,,,,,,TOTAL DE QUESTOES,,15,,,,,,,,,,,,,,,
,,Risco alto: score até 59%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Risco moderado: score entre 60% e 75%,,, ,,,, ,,,,,,,,,,,,,,,,,,,
,,Risco baixo: score igual ou superior a 76%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,IMPLEMENTADO,Não aplicavel
,,,,,,,,,,,,,,,,,,,,,,,,,,9,540,540
,,CONTINUIDADE DE NEGOCIO E ARMAZENAMENTO SEGURO,,,,,,,,,,,,,,TABELA DE PONTOS,,,,,TABELA PESOS,,,,,6,240,240
,,6.2.6 - Ref. Política de Segurança da Informação para Terceiros,,,,,,,,,,,,,,IMPLEMENTADO,,20,,,ALTA,,3,,,0,0,0
,,#,QUESTÃO ,CRITICIDADE DO CONTROLE,INFORMAÇÂO ADICIONAL REQUERIDA,STATUS,COMENTÁRIO DO AVALIADO,,,,PONTOS,,,,,NÃO IMPLEMENTADO,,0,,,MÉDIA,,2,,,Total,780,780
,,1,A empresa possui um Programa de Continuidade dos Negócios para assegurar que possíveis incidentes não afetem o serviço XP?,ALTA,PRINT DA EXISTÊNCIA DO PLANO,IMPLEMENTADO,Solução técnica ativada e monitorada diariamente pelo SOC terceirizado.,,,,20,,,,,PARCIALMENTE,,10,,,BAIXA,,1,,,,,
,,2,O Programa de Continuidade dos Negócios da Empresa contempla um plano de Recuperação de Desastres?,ALTA,PRINT DA EXISTÊNCIA DO PLANO,NÃO IMPLEMENTADO	,Falta orçamento aprovado para aquisição desta ferramenta.,,,,0,,,,,NÃO APLICÁVEL,,20,,,,,,,,,,
,,3,"Possui um data center alternativo para recuperação de seu ambiente de tecnologia e dados, no caso de indisponibilidade do data center principal? (PREENCHER TABELA AO LADO DO QUESTIONÁRIO)",ALTA,INFORMAR NA TABELA AO LADO,PARCIALMENTE,Processo ainda em fase de desenho pela equipe de Governança.,,,,10,,,,,,,,,,,,,,,,,
,,4,"Os data centers possuem controles como medidas de proteção?  Ex: Alarme, sistema de câmera, sistema de extintor de incêndio, sistema de refrigeração, sistema de controle de acesso ou outros métodos.",ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",PARCIALMENTE,Falta orçamento aprovado para aquisição desta ferramenta.,,,,10,,,,,,Tipo,Empresa,Data Center,Endereço/Região,Estado,País,,,,,,
,,5,O Programa de Continuidade dos Negócios da Empresa é testado pelo menos de forma anual ou com que frequência?,ALTA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",PARCIALMENTE,Processo ainda em fase de desenho pela equipe de Governança.,,,,10,,,,,Principal,Cloud,Cirion,SAO1,"Av. Eid Mansur, 666",São Paulo,Brasil,,,,,,
,,6,A empresa possui processo de mapeamento dos seus sistemas críticos? Qual a frequência de revisão?,MÉDIA,"DESCREVER O PROCESSO OU EXPLICAR COMO É FEITO ESSE CONTROLE INCLUINDO SUA PERIODICIDADE (Caso se aplique, mencione as ferramentas utilizadas)",NÃO IMPLEMENTADO	,Item mapeado no backlog do projeto de adequação de segurança. Previsão para o Q3.,,,,0,,,,,Contingência,Cloud,Equinix,SP3,"Av. Marcos Penteado de Ulhoa Rodrigues, 249",São Paulo,Brasil,,,,,,
